Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;xG_90;xAG_90;xG+xAG_90;npxG_90;npxG+xAG_90
Keita Baldé;sn SEN;FW;Monza;it Serie A;29;1995;11;8;638;7.1;2;0;2;2;0;0;2;0;1.1;1.1;0.2;1.2;19;35;29;0.28;0.00;0.28;0.28;0.28;0.15;0.02;0.18;0.15;0.18
Carlos Baleba;cm CMR;MF;Brighton;eng Premier League;20;2004;34;31;2661;29.6;3;1;4;3;0;0;8;1;3.1;3.1;1.3;4.4;43;118;29;0.10;0.03;0.14;0.10;0.14;0.10;0.05;0.15;0.10;0.15
Leonardo Balerdi;ar ARG;DF;Marseille;fr Ligue 1;25;1999;27;27;2273;25.3;0;0;0;0;0;0;9;1;0.9;0.9;0.7;1.7;13;105;5;0.00;0.00;0.00;0.00;0.00;0.04;0.03;0.07;0.04;0.07
Iván Balliu;al ALB;DF;Rayo Vallecano;es La Liga;32;1992;25;12;1200;13.3;0;0;0;0;0;0;3;0;0.0;0.0;0.5;0.5;8;46;21;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.04
Fodé Ballo-Touré;sn SEN;DF,MF;Le Havre;fr Ligue 1;27;1997;10;9;589;6.5;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;15;13;14;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02
Botond Balogh;hu HUN;DF;Parma;it Serie A;22;2002;29;23;2053;22.8;0;1;1;0;0;0;5;0;0.4;0.4;0.1;0.5;7;37;1;0.00;0.04;0.04;0.00;0.04;0.02;0.00;0.02;0.02;0.02
Folarin Balogun;us USA;FW;Monaco;fr Ligue 1;23;2001;13;7;615;6.8;4;0;4;4;0;0;0;0;4.8;4.8;0.9;5.6;21;9;73;0.59;0.00;0.59;0.59;0.59;0.70;0.13;0.82;0.70;0.82
Mario Balotelli;it ITA;FW,MF;Genoa;it Serie A;33;1990;6;0;62;0.7;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;1;5;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07
Abdoulaye Bamba;ci CIV;DF;Angers;fr Ligue 1;34;1990;19;16;1510;16.8;0;0;0;0;0;0;2;0;0.1;0.1;0.3;0.4;1;16;3;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.02;0.01;0.02
Jonathan Bamba;ci CIV;FW,MF;Celta Vigo;es La Liga;28;1996;12;10;811;9.0;0;1;1;0;0;0;1;0;0.8;0.8;1.8;2.6;31;30;71;0.00;0.11;0.11;0.00;0.11;0.09;0.20;0.29;0.09;0.29
Mohamed Bamba;ci CIV;MF;Reims;fr Ligue 1;19;2004;2;0;10;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
