Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;xG_90;xAG_90;xG+xAG_90;npxG_90;npxG+xAG_90
Jason Steele;eng ENG;GK;Brighton;eng Premier League;33;1990;2;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Orri Steinn Óskarsson;is ISL;FW;Real Sociedad;es La Liga;19;2004;23;9;944;10.5;3;0;3;3;0;0;1;0;5.2;5.2;0.2;5.4;6;9;50;0.29;0.00;0.29;0.29;0.29;0.50;0.02;0.52;0.50;0.52
Pascal Stenzel;de GER;DF;Stuttgart;de Bundesliga;28;1996;10;4;290;3.2;0;0;0;0;0;0;0;0;0.3;0.3;0.6;0.9;2;12;16;0.00;0.00;0.00;0.00;0.00;0.10;0.17;0.28;0.10;0.28
Jack Stephens;eng ENG;DF;Southampton;eng Premier League;30;1994;19;17;1389;15.4;1;0;1;1;0;0;2;2;0.6;0.6;0.2;0.7;14;63;2;0.06;0.00;0.06;0.06;0.06;0.04;0.01;0.05;0.04;0.05
Leonidas Stergiou;ch SUI;DF;Stuttgart;de Bundesliga;22;2002;12;11;852;9.5;1;2;3;1;0;0;0;1;1.1;1.1;0.9;2.0;11;39;32;0.11;0.21;0.32;0.11;0.32;0.11;0.10;0.21;0.11;0.21
Raheem Sterling;eng ENG;FW,MF;Arsenal;eng Premier League;29;1994;17;7;499;5.5;0;2;2;0;0;0;1;0;1.4;1.4;0.5;1.9;27;18;79;0.00;0.36;0.36;0.00;0.36;0.26;0.09;0.34;0.26;0.34
Enzo Sternal;fr FRA;FW,MF;Marseille;fr Ligue 1;17;2007;2;0;24;0.3;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;0.00;0.09
Finley Stevens;wls WAL;DF;St. Pauli;de Bundesliga;21;2003;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ross Stewart;sct SCO;FW;Southampton;eng Premier League;28;1996;12;4;389;4.3;1;0;1;1;0;0;1;0;1.1;1.1;0.0;1.1;3;2;10;0.23;0.00;0.23;0.23;0.23;0.25;0.00;0.25;0.25;0.25
Angelo Stiller;de GER;MF;Stuttgart;de Bundesliga;23;2001;32;31;2741;30.5;1;8;9;1;0;0;6;0;1.8;1.8;7.2;9.0;39;289;69;0.03;0.26;0.30;0.03;0.30;0.06;0.24;0.29;0.06;0.29
Kevin Stöger;at AUT;MF;Gladbach;de Bundesliga;30;1993;31;16;1551;17.2;3;3;6;1;2;2;3;0;3.9;2.3;5.3;7.6;40;121;95;0.17;0.17;0.35;0.06;0.23;0.22;0.31;0.53;0.13;0.44
Stoichkov;es ESP;MF,FW;Alavés;es La Liga;30;1993;16;6;699;7.8;0;1;1;0;0;0;1;0;1.1;1.1;1.2;2.3;9;26;41;0.00;0.13;0.13;0.00;0.13;0.14;0.15;0.30;0.14;0.30
Petar Stojanović;si SVN;MF;Empoli;it Serie A;28;1995;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Jakub Stolarczyk;pl POL;GK;Leicester City;eng Premier League;23;2000;10;10;900;10.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
John Stones;eng ENG;DF,MF;Manchester City;eng Premier League;30;1994;11;6;548;6.1;2;0;2;2;0;0;1;0;0.4;0.4;0.1;0.5;10;21;2;0.33;0.00;0.33;0.33;0.33;0.07;0.01;0.08;0.07;0.08
Jørgen Strand Larsen;no NOR;FW;Wolves;eng Premier League;24;2000;35;30;2587;28.7;14;4;18;14;0;0;4;0;10.3;10.3;3.0;13.3;17;29;112;0.49;0.14;0.63;0.49;0.63;0.36;0.10;0.46;0.36;0.46
Gabriel Strefezza;br BRA;FW,MF;Como;it Serie A;27;1997;37;32;2619;29.1;6;4;10;6;0;0;5;0;3.7;3.7;3.9;7.6;80;106;190;0.21;0.14;0.34;0.21;0.34;0.13;0.13;0.26;0.13;0.26
Cristhian Stuani;uy URU;FW;Girona;es La Liga;37;1986;32;6;1078;12.0;11;2;13;8;3;3;4;0;8.1;5.8;0.6;6.5;2;10;36;0.92;0.17;1.09;0.67;0.83;0.68;0.05;0.73;0.49;0.54
Álex Suárez;es ESP;DF;Las Palmas;es La Liga;31;1993;30;30;2460;27.3;0;0;0;0;0;0;12;0;0.5;0.5;0.1;0.6;6;53;3;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
Denis Suárez;es ESP;MF;Villarreal;es La Liga;30;1994;21;7;608;6.8;1;1;2;1;0;0;0;0;0.9;0.9;1.5;2.4;27;35;24;0.15;0.15;0.30;0.15;0.30;0.14;0.22;0.36;0.14;0.36
Gabriel Suazo;cl CHI;DF;Toulouse;fr Ligue 1;26;1997;30;23;2163;24.0;0;6;6;0;0;0;0;0;0.8;0.8;3.8;4.7;42;109;118;0.00;0.25;0.25;0.00;0.25;0.03;0.16;0.19;0.03;0.19
Luka Sučić;hr CRO;MF;Real Sociedad;es La Liga;21;2002;29;21;1792;19.9;1;1;2;1;0;0;4;0;3.3;3.3;2.6;5.9;30;79;56;0.05;0.05;0.10;0.05;0.10;0.17;0.13;0.30;0.17;0.30
Yukinari Sugawara;jp JPN;DF,MF;Southampton;eng Premier League;24;2000;30;16;1557;17.3;1;1;2;1;0;0;4;0;0.5;0.5;2.2;2.7;33;72;78;0.06;0.06;0.12;0.06;0.12;0.03;0.13;0.16;0.03;0.16
Niklas Süle;de GER;DF;Dortmund;de Bundesliga;28;1995;15;12;1053;11.7;0;0;0;0;0;0;1;0;0.6;0.6;0.1;0.7;15;47;10;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.06;0.05;0.06
Ibrahim Sulemana;gh GHA;MF;Atalanta;it Serie A;21;2003;9;3;283;3.1;2;0;2;2;0;0;1;0;0.6;0.6;0.0;0.6;2;12;2;0.64;0.00;0.64;0.64;0.64;0.18;0.01;0.19;0.18;0.19
Kamaldeen Sulemana;gh GHA;FW,MF;Southampton;eng Premier League;22;2002;26;17;1402;15.6;1;1;2;1;0;0;2;0;1.5;1.5;1.0;2.5;63;27;87;0.06;0.06;0.13;0.06;0.13;0.10;0.06;0.16;0.10;0.16
Crysencio Summerville;nl NED;FW,MF;West Ham;eng Premier League;22;2001;19;7;786;8.7;1;1;2;1;0;0;2;0;1.6;1.6;1.7;3.3;29;18;71;0.11;0.11;0.23;0.11;0.23;0.19;0.19;0.38;0.19;0.38
Tomáš Suslov;sk SVK;MF,FW;Hellas Verona;it Serie A;22;2002;31;27;2080;23.1;0;1;1;0;0;0;7;1;1.6;1.6;1.9;3.5;39;82;77;0.00;0.04;0.04;0.00;0.04;0.07;0.08;0.15;0.07;0.15
Suso;es ESP;FW,MF;Sevilla;es La Liga;30;1993;16;4;606;6.7;0;2;2;0;0;0;3;0;0.7;0.7;1.6;2.3;20;43;74;0.00;0.30;0.30;0.00;0.30;0.11;0.24;0.35;0.11;0.35
Zion Suzuki;jp JPN;GK;Parma;it Serie A;21;2002;37;37;3314;36.8;0;0;0;0;0;0;2;1;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Mattias Svanberg;se SWE;MF;Wolfsburg;de Bundesliga;25;1999;20;14;1219;13.5;3;1;4;3;0;0;4;0;3.6;3.6;1.7;5.4;11;36;39;0.22;0.07;0.30;0.22;0.30;0.27;0.13;0.40;0.27;0.40
Daniel Svensson;se SWE;DF,FW;Dortmund;de Bundesliga;22;2002;12;8;781;8.7;1;3;4;1;0;0;0;0;0.8;0.8;1.2;1.9;11;41;51;0.12;0.35;0.46;0.12;0.46;0.09;0.14;0.22;0.09;0.22
Marin Šverko;hr CRO;DF;Venezia;it Serie A;26;1998;16;12;1117;12.4;1;0;1;1;0;0;3;0;0.3;0.3;0.3;0.7;8;38;1;0.08;0.00;0.08;0.08;0.08;0.03;0.03;0.05;0.03;0.05
Mile Svilar;rs SRB;GK;Roma;it Serie A;24;1999;38;38;3420;38.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Michael Svoboda;at AUT;DF;Venezia;it Serie A;25;1998;16;15;1314;14.6;1;0;1;1;0;0;1;0;0.2;0.2;0.6;0.8;13;43;5;0.07;0.00;0.07;0.07;0.07;0.01;0.04;0.06;0.01;0.06
Williot Swedberg;se SWE;FW,MF;Celta Vigo;es La Liga;20;2004;32;15;1348;15.0;4;5;9;4;0;0;1;0;5.2;5.2;2.6;7.9;34;28;116;0.27;0.33;0.60;0.27;0.60;0.35;0.17;0.52;0.35;0.52
Abakar Sylla;ci CIV;DF;Strasbourg;fr Ligue 1;21;2002;21;10;950;10.6;1;0;1;1;0;0;2;1;0.4;0.4;0.1;0.5;0;21;3;0.09;0.00;0.09;0.09;0.09;0.04;0.01;0.05;0.04;0.05
Issiaga Sylla;gn GUI;DF;Montpellier;fr Ligue 1;30;1994;19;15;1156;12.8;1;0;1;1;0;0;2;0;1.8;1.8;0.6;2.4;33;53;46;0.08;0.00;0.08;0.08;0.08;0.15;0.05;0.19;0.15;0.19
Mamadou Sylla;sn SEN;FW,MF;Valladolid;es La Liga;30;1994;29;17;1583;17.6;5;1;6;1;4;4;5;0;5.1;2.0;1.7;3.6;15;22;52;0.28;0.06;0.34;0.06;0.11;0.29;0.09;0.39;0.11;0.21
Wojciech Szczęsny;pl POL;GK;Barcelona;es La Liga;34;1990;15;15;1350;15.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Sammie Szmodics;ie IRL;FW,MF;Ipswich Town;eng Premier League;28;1995;20;13;992;11.0;4;0;4;4;0;0;2;0;3.4;3.4;0.2;3.6;16;19;47;0.36;0.00;0.36;0.36;0.36;0.31;0.02;0.33;0.31;0.33
Dominik Szoboszlai;hu HUN;MF;Liverpool;eng Premier League;23;2000;36;29;2491;27.7;6;6;12;6;0;0;6;0;7.3;7.3;7.4;14.7;72;131;127;0.22;0.22;0.43;0.22;0.43;0.27;0.27;0.53;0.27;0.53
Alexander Sørloth;no NOR;FW;Atlético Madrid;es La Liga;28;1995;35;15;1566;17.4;20;2;22;19;1;1;4;0;16.8;16.0;1.6;17.6;32;31;81;1.15;0.11;1.26;1.09;1.21;0.97;0.09;1.06;0.92;1.01
Musa Al-Taamari;jo JOR;FW,MF;Montpellier;fr Ligue 1;27;1997;15;12;1116;12.4;2;1;3;2;0;0;3;0;2.6;2.6;1.5;4.1;55;30;76;0.16;0.08;0.24;0.16;0.24;0.21;0.12;0.33;0.21;0.33
Musa Al-Taamari;jo JOR;FW,MF;Rennes;fr Ligue 1;27;1997;11;7;567;6.3;1;0;1;1;0;0;1;0;2.4;2.4;1.3;3.8;21;8;39;0.16;0.00;0.16;0.16;0.16;0.39;0.21;0.60;0.39;0.60
Haris Tabakovic;ba BIH;FW;Hoffenheim;de Bundesliga;30;1994;22;6;821;9.1;3;1;4;3;0;0;0;0;3.3;3.3;1.2;4.6;4;7;45;0.33;0.11;0.44;0.33;0.44;0.37;0.14;0.50;0.37;0.50
Nicolás Tagliafico;ar ARG;DF;Lyon;fr Ligue 1;31;1992;24;22;1902;21.1;3;1;4;3;0;0;7;0;3.0;3.0;0.8;3.8;31;97;81;0.14;0.05;0.19;0.14;0.19;0.14;0.04;0.18;0.14;0.18
Jonathan Tah;de GER;DF;Leverkusen;de Bundesliga;28;1996;33;33;2970;33.0;3;0;3;3;0;0;3;0;1.1;1.1;0.4;1.5;15;169;9;0.09;0.00;0.09;0.09;0.09;0.03;0.01;0.05;0.03;0.05
Adrien Tameze;cm CMR;MF,DF;Torino;it Serie A;30;1994;20;9;649;7.2;0;0;0;0;0;0;3;0;0.4;0.4;0.8;1.2;16;23;21;0.00;0.00;0.00;0.00;0.00;0.05;0.12;0.17;0.05;0.17
Axel Tapé;fr FRA;DF,MF;Paris S-G;fr Ligue 1;16;2007;2;2;180;2.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.1;1;5;1;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.03;0.02;0.03
Renato Tapia;pe PER;MF,DF;Leganés;es La Liga;29;1995;34;28;2424;26.9;1;0;1;1;0;0;8;0;0.6;0.6;0.4;1.0;17;83;20;0.04;0.00;0.04;0.04;0.04;0.02;0.01;0.04;0.02;0.04
Edmond Tapsoba;bf BFA;DF;Leverkusen;de Bundesliga;25;1999;29;29;2507;27.9;0;0;0;0;0;0;4;0;1.1;1.1;0.2;1.3;52;164;17;0.00;0.00;0.00;0.00;0.00;0.04;0.01;0.05;0.04;0.05
Florian Tardieu;fr FRA;MF;Saint-Étienne;fr Ligue 1;32;1992;24;13;1252;13.9;2;4;6;2;0;0;0;0;0.6;0.6;1.3;1.9;11;139;44;0.14;0.29;0.43;0.14;0.43;0.05;0.10;0.15;0.05;0.15
Mehdi Taremi;ir IRN;FW;Inter;it Serie A;32;1992;26;7;816;9.1;1;2;3;0;1;1;1;0;3.5;2.7;1.6;4.2;10;25;47;0.11;0.22;0.33;0.00;0.22;0.38;0.17;0.56;0.30;0.47
Matt Targett;eng ENG;DF;Newcastle Utd;eng Premier League;28;1995;2;0;21;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Oussama Targhalline;ma MAR;MF;Le Havre;fr Ligue 1;22;2002;14;12;990;11.0;0;0;0;0;0;0;0;0;0.1;0.1;0.7;0.9;25;66;34;0.00;0.00;0.00;0.00;0.00;0.01;0.06;0.08;0.01;0.08
James Tarkowski;eng ENG;DF;Everton;eng Premier League;31;1992;33;33;2922;32.5;1;1;2;1;0;0;6;0;1.3;1.3;2.9;4.2;9;75;3;0.03;0.03;0.06;0.03;0.06;0.04;0.09;0.13;0.04;0.13
César Tárrega;es ESP;DF;Valencia;es La Liga;22;2002;34;34;3026;33.6;2;0;2;2;0;0;7;0;1.9;1.9;0.1;2.1;20;79;1;0.06;0.00;0.06;0.06;0.06;0.06;0.00;0.06;0.06;0.06
Nuno Tavares;pt POR;DF;Lazio;it Serie A;24;2000;23;22;1686;18.7;0;8;8;0;0;0;4;1;1.1;1.1;4.8;5.9;98;111;100;0.00;0.43;0.43;0.00;0.43;0.06;0.26;0.32;0.06;0.32
Marcus Tavernier;eng ENG;FW,MF;Bournemouth;eng Premier League;25;1999;29;20;1939;21.5;3;5;8;3;0;0;6;0;5.5;5.5;4.0;9.5;53;128;129;0.14;0.23;0.37;0.14;0.37;0.25;0.19;0.44;0.25;0.44
Charlie Taylor;eng ENG;DF;Southampton;eng Premier League;30;1993;8;3;356;4.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;3;9;7;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02
Jack Taylor;ie IRL;MF;Ipswich Town;eng Premier League;26;1998;32;4;860;9.6;1;0;1;1;0;0;4;0;0.7;0.7;0.5;1.3;11;43;23;0.10;0.00;0.10;0.10;0.10;0.08;0.06;0.13;0.08;0.13
Loum Tchaouna;fr FRA;FW,MF;Lazio;it Serie A;20;2003;24;6;660;7.3;1;0;1;1;0;0;4;1;2.5;2.5;0.6;3.1;22;20;66;0.14;0.00;0.14;0.14;0.14;0.34;0.08;0.42;0.34;0.42
Jackson Tchatchoua;cm CMR;DF,MF;Hellas Verona;it Serie A;22;2001;36;36;3167;35.2;2;3;5;2;0;0;7;1;1.6;1.6;2.8;4.5;88;72;163;0.06;0.09;0.14;0.06;0.14;0.05;0.08;0.13;0.05;0.13
Enzo Tchato;cm CMR;DF;Montpellier;fr Ligue 1;21;2002;27;21;1899;21.1;0;0;0;0;0;0;3;0;0.1;0.1;1.5;1.7;44;62;95;0.00;0.00;0.00;0.00;0.00;0.01;0.07;0.08;0.01;0.08
Aurélien Tchouaméni;fr FRA;DF,MF;Real Madrid;es La Liga;24;2000;32;31;2689;29.9;0;0;0;0;0;0;5;0;1.7;1.7;0.6;2.2;19;154;13;0.00;0.00;0.00;0.00;0.00;0.06;0.02;0.07;0.06;0.07
Álvaro Tejero;es ESP;MF,DF;Espanyol;es La Liga;28;1996;28;13;1238;13.8;1;4;5;1;0;0;2;0;0.6;0.6;2.9;3.5;27;46;72;0.07;0.29;0.36;0.07;0.36;0.04;0.21;0.26;0.04;0.26
Martín Tejón;es ESP;MF,DF;Valencia;es La Liga;20;2004;4;0;49;0.5;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;4;6;0.00;0.00;0.00;0.00;0.00;0.16;0.05;0.21;0.16;0.21
Mathys Tel;fr FRA;FW;Tottenham;eng Premier League;19;2005;13;11;911;10.1;2;1;3;1;1;1;2;0;3.0;2.2;2.5;4.7;28;21;72;0.20;0.10;0.30;0.10;0.20;0.29;0.25;0.54;0.22;0.46
Mathys Tel;fr FRA;FW,MF;Bayern Munich;de Bundesliga;19;2005;8;2;256;2.8;0;1;1;0;0;0;0;0;0.7;0.7;0.3;1.0;6;9;34;0.00;0.35;0.35;0.00;0.35;0.26;0.10;0.36;0.26;0.36
Nathan Tella;ng NGA;MF,FW;Leverkusen;de Bundesliga;25;1999;27;17;1359;15.1;2;4;6;2;0;0;1;0;3.1;3.1;1.5;4.6;38;22;130;0.13;0.26;0.40;0.13;0.40;0.20;0.10;0.31;0.20;0.31
Nahuel Tenaglia;ar ARG;DF;Alavés;es La Liga;28;1996;34;33;2922;32.5;2;1;3;2;0;0;11;0;2.2;2.2;1.6;3.7;42;103;98;0.06;0.03;0.09;0.06;0.09;0.07;0.05;0.12;0.07;0.12
Arnau Tenas;es ESP;GK;Paris S-G;fr Ligue 1;23;2001;1;1;90;1.0;0;1;1;0;0;0;0;0;0.0;0.0;0.2;0.2;0;1;0;0.00;1.00;1.00;0.00;1.00;0.00;0.21;0.21;0.00;0.21
Casper Tengstedt;dk DEN;FW;Hellas Verona;it Serie A;24;2000;25;20;1517;16.9;6;1;7;5;1;1;2;0;5.3;4.5;0.9;5.4;29;29;85;0.36;0.06;0.42;0.30;0.36;0.31;0.05;0.37;0.27;0.32
Marc-André ter Stegen;de GER;GK;Barcelona;es La Liga;32;1992;8;8;674;7.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Filippo Terracciano;it ITA;DF,MF;Milan;it Serie A;21;2003;13;6;539;6.0;0;0;0;0;0;0;3;0;0.2;0.2;0.1;0.3;5;14;9;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.04;0.03;0.04
Pietro Terracciano;it ITA;GK;Fiorentina;it Serie A;34;1990;3;3;270;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ramón Terrats;es ESP;MF,FW;Villarreal;es La Liga;23;2000;11;1;131;1.5;0;0;0;0;0;0;1;0;0.1;0.1;0.3;0.3;1;7;3;0.00;0.00;0.00;0.00;0.00;0.04;0.19;0.22;0.04;0.22
Ramón Terrats;es ESP;MF,FW;Getafe;es La Liga;23;2000;15;15;1219;13.5;4;1;5;4;0;0;1;0;2.2;2.2;2.5;4.7;8;36;37;0.30;0.07;0.37;0.30;0.37;0.16;0.19;0.35;0.16;0.35
Martin Terrier;fr FRA;MF,FW;Leverkusen;de Bundesliga;27;1997;15;7;584;6.5;2;1;3;2;0;0;1;0;2.4;2.4;0.9;3.3;11;14;35;0.31;0.15;0.46;0.31;0.46;0.38;0.14;0.52;0.38;0.52
Tanner Tessmann;us USA;MF;Lyon;fr Ligue 1;22;2001;25;13;1234;13.7;1;0;1;1;0;0;3;0;1.0;1.0;0.6;1.6;11;56;27;0.07;0.00;0.07;0.07;0.07;0.07;0.05;0.11;0.07;0.11
Kenny Tete;nl NED;DF;Fulham;eng Premier League;28;1995;22;21;1774;19.7;0;2;2;0;0;0;5;0;1.4;1.4;0.9;2.3;34;63;54;0.00;0.10;0.10;0.00;0.10;0.07;0.05;0.12;0.07;0.12
Teddy Teuma;mt MLT;MF;Reims;fr Ligue 1;30;1993;17;9;750;8.3;1;0;1;0;1;1;1;0;1.4;0.6;1.1;1.7;9;47;34;0.12;0.00;0.12;0.00;0.00;0.17;0.13;0.30;0.07;0.21
Jordan Teze;nl NED;DF;Monaco;fr Ligue 1;24;1999;16;8;569;6.3;1;0;1;1;0;0;2;1;1.2;1.2;1.5;2.7;9;31;41;0.16;0.00;0.16;0.16;0.16;0.19;0.24;0.43;0.19;0.43
Florian Thauvin;fr FRA;FW,MF;Udinese;it Serie A;31;1993;25;24;1956;21.7;8;3;11;7;1;3;0;0;8.1;5.7;3.8;9.5;92;90;148;0.37;0.14;0.51;0.32;0.46;0.37;0.18;0.55;0.26;0.44
Arthur Theate;be BEL;DF;Eint Frankfurt;de Bundesliga;24;2000;31;31;2704;30.0;0;0;0;0;0;0;6;1;2.4;2.4;1.0;3.4;50;171;24;0.00;0.00;0.00;0.00;0.00;0.08;0.03;0.11;0.08;0.11
Norman Theuerkauf;de GER;MF;Heidenheim;de Bundesliga;37;1987;1;0;22;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.14;0.14;0.14
Thiago;br BRA;FW,MF;Brentford;eng Premier League;23;2001;8;1;175;1.9;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;3;4;8;0.00;0.00;0.00;0.00;0.00;0.07;0.04;0.10;0.07;0.10
Malick Thiaw;de GER;DF;Milan;it Serie A;22;2001;22;19;1806;20.1;0;0;0;0;0;0;2;0;0.6;0.6;0.1;0.7;12;89;1;0.00;0.00;0.00;0.00;0.00;0.03;0.01;0.04;0.03;0.04
Denis Thomalla;de GER;MF;Heidenheim;de Bundesliga;31;1992;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Luke Thomas;eng ENG;DF;Leicester City;eng Premier League;23;2001;14;13;1110;12.3;0;0;0;0;0;0;3;0;0.4;0.4;0.5;0.9;5;37;16;0.00;0.00;0.00;0.00;0.00;0.03;0.04;0.07;0.03;0.07
Sorba Thomas;wls WAL;FW,MF;Nantes;fr Ligue 1;24;1999;25;15;1321;14.7;1;3;4;1;0;0;3;0;1.5;1.5;3.7;5.2;41;34;93;0.07;0.20;0.27;0.07;0.27;0.10;0.25;0.35;0.10;0.35
Adrien Thomasson;fr FRA;MF;Lens;fr Ligue 1;30;1993;33;31;2615;29.1;3;7;10;3;0;0;7;0;5.9;5.9;6.0;11.9;30;149;138;0.10;0.24;0.34;0.10;0.34;0.20;0.21;0.41;0.20;0.41
Morten Thorsby;no NOR;MF,FW;Genoa;it Serie A;28;1996;30;22;1898;21.1;0;1;1;0;0;0;6;0;2.8;2.8;2.1;4.9;24;58;76;0.00;0.05;0.05;0.00;0.05;0.13;0.10;0.23;0.13;0.23
Khéphren Thuram;fr FRA;MF;Juventus;it Serie A;23;2001;35;26;2326;25.8;4;5;9;4;0;0;5;0;3.5;3.5;3.6;7.1;74;123;52;0.15;0.19;0.35;0.15;0.35;0.13;0.14;0.28;0.13;0.28
Marcus Thuram;fr FRA;FW;Inter;it Serie A;26;1997;32;27;2290;25.4;14;4;18;14;0;0;1;0;9.9;9.9;4.4;14.3;62;53;170;0.55;0.16;0.71;0.55;0.71;0.39;0.17;0.56;0.39;0.56
Cheikh Tidiane Niasse;sn SEN;MF;Hellas Verona;it Serie A;24;2000;11;8;755;8.4;0;0;0;0;0;0;4;0;0.4;0.4;0.1;0.5;5;25;15;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.06;0.05;0.06
Youri Tielemans;be BEL;MF;Aston Villa;eng Premier League;27;1997;36;35;3026;33.6;3;7;10;3;0;1;4;0;3.3;2.5;7.0;9.5;39;235;48;0.09;0.21;0.30;0.09;0.30;0.10;0.21;0.31;0.07;0.28
Kieran Tierney;sct SCO;DF,FW;Arsenal;eng Premier League;27;1997;13;2;259;2.9;1;0;1;1;0;0;0;0;0.4;0.4;1.4;1.7;8;15;29;0.35;0.00;0.35;0.35;0.35;0.12;0.48;0.60;0.12;0.60
Phillip Tietz;de GER;FW;Augsburg;de Bundesliga;27;1997;34;19;1686;18.7;7;2;9;6;1;1;4;0;6.1;5.3;1.2;6.5;8;29;113;0.37;0.11;0.48;0.32;0.43;0.33;0.07;0.39;0.28;0.35
Jurriën Timber;nl NED;DF;Arsenal;eng Premier League;23;2001;30;27;2417;26.9;1;3;4;1;0;0;7;0;1.2;1.2;0.8;2.1;57;146;104;0.04;0.11;0.15;0.04;0.15;0.05;0.03;0.08;0.05;0.08
Jean-Clair Todibo;fr FRA;DF;West Ham;eng Premier League;24;1999;27;20;1825;20.3;0;0;0;0;0;0;3;0;0.4;0.4;0.0;0.4;9;38;5;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
Harry Toffolo;eng ENG;DF;Nott'ham Forest;eng Premier League;28;1995;4;1;137;1.5;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;2;4;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01
Umut Tohumcu;de GER;MF,FW;Hoffenheim;de Bundesliga;19;2004;12;3;375;4.2;0;1;1;0;0;0;3;0;0.1;0.1;0.4;0.5;3;13;5;0.00;0.24;0.24;0.00;0.24;0.03;0.09;0.12;0.03;0.12
Corentin Tolisso;fr FRA;MF;Lyon;fr Ligue 1;29;1994;32;27;2329;25.9;7;4;11;7;0;0;4;0;5.3;5.3;4.9;10.2;31;166;133;0.27;0.15;0.43;0.27;0.43;0.21;0.19;0.40;0.21;0.40
John Tolkin;us USA;DF,MF;Holstein Kiel;de Bundesliga;22;2002;11;9;737;8.2;0;2;2;0;0;0;0;0;0.1;0.1;0.7;0.7;6;17;12;0.00;0.24;0.24;0.00;0.24;0.01;0.08;0.09;0.01;0.09
Rafael Tolói;it ITA;DF;Atalanta;it Serie A;33;1990;11;2;468;5.2;0;0;0;0;0;0;1;0;0.1;0.1;0.2;0.3;5;26;5;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.05;0.01;0.05
Raúl de Tomás;es ESP;DF,FW;Rayo Vallecano;es La Liga;29;1994;2;0;22;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Tiago Tomás;pt POR;FW,MF;Wolfsburg;de Bundesliga;22;2002;32;23;1884;20.9;6;1;7;6;0;0;7;0;5.4;5.4;2.6;8.1;31;50;125;0.29;0.05;0.33;0.29;0.33;0.26;0.13;0.38;0.26;0.38
